Player,Pos,GP,PP_TOI,SH_TOI,PP GF/60,PP GA/60,STS/60,PPGF,PPGA,STS,SHP,PP GA ADJ,PP GA/60 ADJ,STSA,STSA/60,PPP,PP TOI%,SH TOI%,ST TOI%
Teddy Purcell,L,251,634.55,134.7,6.15,8.02,-1.8699999999999992,65.0,18.0,47.0,1,17.0,7.57,48.0,-1.42,39,49.0,10.5,59.5
Benoit Pouliot,L,334,507.78,304.78,6.14,6.3,-0.16000000000000014,52.0,32.0,20.0,4,28.0,5.51,24.0,0.63,25,29.4,19.2,48.6
Christopher Tanev,D,422,185.93,1273.22,6.13,7.26,-1.13,19.0,154.0,-135.0,5,149.0,7.02,-130.0,-0.89,6,8.4,56.5,64.9
Nick Ritchie,L,294,283.88,66.08,6.13,6.36,-0.23000000000000043,29.0,7.0,22.0,0,7.0,6.36,22.0,-0.23,17,20.6,3.9,24.5
Matt Duchene,C,527,1370.92,154.97,6.13,8.13,-2.000000000000001,140.0,21.0,119.0,1,20.0,7.74,120.0,-1.61,86,51.0,5.9,56.9
Christian Ehrhoff,D,176,450.83,315.0,6.12,6.1,0.020000000000000462,46.0,32.0,14.0,3,29.0,5.52,17.0,0.6,22,48.2,30.6,78.8
Jon Merrill,D,356,186.73,437.88,6.1,5.89,0.20999999999999996,19.0,43.0,-24.0,3,40.0,5.48,-21.0,0.62,7,10.8,23.7,34.5
Oscar Fantenberg,D,124,68.82,124.68,6.1,8.18,-2.08,7.0,17.0,-10.0,0,17.0,8.18,-10.0,-2.08,5,11.2,19.6,30.8
Esa Lindell,D,308,374.43,829.67,6.09,7.74,-1.6500000000000004,38.0,107.0,-69.0,5,102.0,7.38,-64.0,-1.29,24,25.9,52.7,78.6
Alex Tanguay,L,166,394.23,165.37,6.09,5.08,1.0099999999999998,40.0,14.0,26.0,3,11.0,3.99,29.0,2.1,25,45.5,18.4,63.9
Anthony Beauvillier,L,286,354.95,101.65,6.09,8.85,-2.76,36.0,15.0,21.0,1,14.0,8.26,22.0,-2.17,18,26.0,8.0,34.0
Michael Cammalleri,L,300,711.55,144.8,6.07,7.04,-0.9699999999999998,72.0,17.0,55.0,2,15.0,6.22,57.0,-0.15,49,48.9,8.9,57.8
Erik Johnson,D,447,742.6,1206.6,6.06,7.66,-1.6000000000000005,75.0,154.0,-79.0,5,149.0,7.41,-74.0,-1.35,35,29.8,49.8,79.6
Alex Iafallo,L,227,347.48,161.12,6.04,8.19,-2.1499999999999995,35.0,22.0,13.0,0,22.0,8.19,13.0,-2.15,17,33.4,14.5,47.9
Devin Shore,C,288,417.22,234.2,6.04,6.4,-0.3600000000000003,42.0,25.0,17.0,4,21.0,5.38,21.0,0.66,24,31.7,15.8,47.5
Evan Rodrigues,C,199,228.8,202.4,6.03,7.71,-1.6799999999999997,23.0,26.0,-3.0,3,23.0,6.82,0.0,-0.79,12,23.0,22.7,45.7
David Moss,R,139,59.85,252.15,6.02,7.38,-1.3600000000000003,6.0,31.0,-25.0,1,30.0,7.14,-24.0,-1.12,4,8.5,32.4,40.9
Connor Brown,R,324,359.33,662.83,6.01,7.33,-1.3200000000000003,36.0,81.0,-45.0,8,73.0,6.61,-37.0,-0.6,17,23.7,42.4,66.1
Anton Lander,C,148,159.72,243.93,6.01,6.64,-0.6299999999999999,16.0,27.0,-11.0,0,27.0,6.64,-11.0,-0.63,7,21.9,33.9,55.8
Andrew Ladd,L,418,989.1,616.3,6.01,8.28,-2.2699999999999996,99.0,85.0,14.0,9,76.0,7.4,23.0,-1.39,51,45.5,26.9,72.4
Jordan Martinook,L,374,79.93,726.65,6.01,7.51,-1.5,8.0,91.0,-83.0,9,82.0,6.77,-74.0,-0.76,3,4.1,37.2,41.3
Dion Phaneuf,D,448,1121.33,917.13,5.99,8.24,-2.25,112.0,126.0,-14.0,5,121.0,7.92,-9.0,-1.93,62,48.0,39.8,87.8
Rasmus Andersson,D,160,200.73,81.95,5.98,4.39,1.5900000000000007,20.0,6.0,14.0,0,6.0,4.39,14.0,1.59,6,25.2,10.7,35.9
Brett Howden,C,136,110.6,223.43,5.97,8.06,-2.0900000000000007,11.0,30.0,-19.0,2,28.0,7.52,-17.0,-1.55,4,16.7,29.5,46.2
